iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Creates a reseller child","POST","https://api.sendinblue.com/v3/reseller/children","Unauthorized","401","83","50",,,,"0","0","0","0"
"1","Sendinblue","Return all the processes for your account","GET","https://api.sendinblue.com/v3/processes?limit=10&offset=0&sort=desc","Unauthorized","401","77","50",,,,"0","0","0","0"
"1","Sendinblue","Return the informations for a process","GET","https://api.sendinblue.com/v3/processes/13396752","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Get the details of requested master account","GET","https://api.sendinblue.com/v3/corporate/masterAccount","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Get the list of all the sub-accounts of the master account.","GET","https://api.sendinblue.com/v3/corporate/subAccount?offset=-41398727&limit=-41398727","Unauthorized","401","81","50",,,,"0","0","0","0"
"1","Sendinblue","Create a new sub-account under a master account.","POST","https://api.sendinblue.com/v3/corporate/subAccount","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Generate SSO token to access Sendinblue","POST","https://api.sendinblue.com/v3/corporate/subAccount/ssoToken","Unauthorized","401","83","50",,,,"0","0","0","0"
"1","Sendinblue","Get sub-account details","GET","https://api.sendinblue.com/v3/corporate/subAccount/13396752","Unauthorized","401","85","50",,,,"0","0","0","0"
"1","Sendinblue","Delete a sub-account","DELETE","https://api.sendinblue.com/v3/corporate/subAccount/13396752","Unauthorized","401","80","50",,,,"0","0","0","0"
"1","Sendinblue","Update sub-account plan","PUT","https://api.sendinblue.com/v3/corporate/subAccount/13396752/plan","Unauthorized","401","78","50",,,,"0","0","0","0"
"1","Sendinblue","Get your account information, plan and credits details","GET","https://api.sendinblue.com/v3/account","Unauthorized","401","76","50",,,,"0","0","0","0"
"1","Sendinblue","Get the list of all your senders","GET","https://api.sendinblue.com/v3/senders?ip=veniam elit in&domain=veniam elit in","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Create a new sender","POST","https://api.sendinblue.com/v3/senders","Unauthorized","401","76","50",,,,"0","0","0","0"
"1","Sendinblue","Get all the dedicated IPs for your account","GET","https://api.sendinblue.com/v3/senders/ips","Unauthorized","401","78","50",,,,"0","0","0","0"
"1","Sendinblue","Update a sender","PUT","https://api.sendinblue.com/v3/senders/13396752","Unauthorized","401","90","50",,,,"0","0","0","0"
"1","Sendinblue","Delete a sender","DELETE","https://api.sendinblue.com/v3/senders/13396752","Unauthorized","401","79","50",,,,"0","0","0","0"
"1","Sendinblue","Get all the dedicated IPs for a sender","GET","https://api.sendinblue.com/v3/senders/13396752/ips","Unauthorized","401","81","50",,,,"0","0","0","0"
